GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
WWF SmackDown! 2: Know Your Role,PS,THQ,2000
Killer Instinct,SNES,Nintendo,1995
Dragon Quest VI: Maboroshi no Daichi,SNES,Enix Corporation,1995
God of War: Chains of Olympus,PSP,Sony Computer Entertainment,2008
L.A. Noire,PS3,Take-Two Interactive,2011
Enter the Matrix,PS2,Atari,2003
Crisis Core: Final Fantasy VII,PSP,Square Enix,2007
Dance Central,X360,MTV Games,2010
Ace Combat 04: Shattered Skies,PS2,Sony Computer Entertainment Europe,2001
Animal Crossing: Happy Home Designer,3DS,Nintendo,2015
Animal Crossing,GC,Nintendo,2001
FIFA Soccer 08,PS2,Electronic Arts,2007
Mario Party 9,Wii,Nintendo,2012
Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios,2008
Spider-Man,PS,Activision,2000
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,2013
Need for Speed III: Hot Pursuit,PS,Electronic Arts,1998
Star Wars Episode I Racer,N64,Nintendo,1999
Sonic Rush,DS,Sega,2005
Fallout: New Vegas,PS3,Bethesda Softworks,2010
Dragon Warrior IV,NES,Enix Corporation,1990
Personal Trainer: Cooking,DS,Nintendo,2006
Rhythm Heaven,DS,Nintendo,2008
The Elder Scrolls IV: Oblivion,PS3,Ubisoft,2007
Resident Evil 6,PS3,Capcom,2012
Mass Effect 2,X360,Electronic Arts,2010
Dragon Ball Z: Budokai,PS2,Atari,2002
Madden NFL 2002,PS2,Electronic Arts,2001
World Class Track Meet,NES,Namco Bandai Games,1986
Donkey Kong,G,Nintendo,1994
The Sims: Vacation,PC,Electronic Arts,2002
LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,2008
LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment,2008
Borderlands 2,X360,Take-Two Interactive,2012
Kung Fu Panda,X360,Activision,2008
Mass Effect 3,X360,Electronic Arts,2012
Saints Row 2,X360,THQ,2008
Heavy Rain,PS3,Sony Computer Entertainment,2010
Rayman,PS,Ubisoft,1995
Tom Clancys Splinter Cell,X,Ubisoft,2002
FIFA 14,PS4,Electronic Arts,2013
Mike Tysons Punch-Out!!,NES,Nintendo,1987
WWE SmackDown! Shut Your Mouth,PS2,THQ,2002
NBA 2K13,X360,Take-Two Interactive,2012
Killzone 2,PS3,Sony Computer Entertainment,2009
Far Cry 3,X360,Ubisoft,2012
Epic Mickey,Wii,Disney Interactive Studios,2010
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Atari,2007
wwe Smackdown vs. Raw 2006,PS2,THQ,2005
Star Fox,SNES,Nintendo,1993
The Sims: Livin Large,PC,Electronic Arts,2000
World Soccer Winning Eleven 6 International,PS2,Konami Digital Entertainment,2002
Devil May Cry,PS2,Capcom,2001
Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment,2014
Star Wars: The Old Republic,PC,Electronic Arts,2011
Titanfall,XOne,Electronic Arts,2014
Sonic Heroes,PS2,Sega,2003
Hitman 2: Silent Assassin,PS2,Eidos Interactive,2002
Battlefield: Bad Company 2,PS3,Electronic Arts,2010
Wave Race 64,N64,Nintendo,1996
SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,2003
WWE SmackDown! vs. RAW 2006,PS2,THQ,2005
Street Fighter IV,X360,Capcom,2009
Pac-Man Collection,GBA,Atari,2001
inFAMOUS,PS3,Sony Computer Entertainment,2009
Call of Duty: Ghosts,XOne,Activision,2013
FIFA 15,X360,Electronic Arts,2014
Kirby Super Star Ultra,DS,Nintendo,2008
Super Mario World 2: Yoshis Island,GBA,Nintendo,2002
Mass Effect,X360,Microsoft Game Studios,2007
Sonic Mega Collection Plus,PS2,Sega,2004
World Soccer Winning Eleven 7 International,PS2,Konami Digital Entertainment,2003
Sega Superstars Tennis,X360,Sega,2008
Hot Shots Golf 3,PS2,Sony Computer Entertainment,2001
Cooking Mama: Cook Off,Wii,505 Games,2007
WarioWare: Smooth Moves,Wii,Nintendo,2006
Call of Duty: Finest Hour,PS2,Activision,2004
Syphon Filter,PS,Sony Computer Entertainment,1999
Imagine: Babyz,DS,Ubisoft,2007
Colin McRae Rally,PS,Codemasters,1998
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,2015
Madden NFL 13,X360,Electronic Arts,2012
The Elder Scrolls III: Morrowind,X,Ubisoft,2002
Assassins Creed IV: Black Flag,PS4,Ubisoft,2013
Yoshis Story,N64,Nintendo,1997
F-Zero,SNES,Nintendo,1990
Command & Conquer: Red Alert,PC,Virgin Interactive,1996
Mortal Kombat,PS3,Warner Bros. Interactive Entertainment,2011
Madden NFL 10,X360,Electronic Arts,2009
WWE SmackDown! vs. Raw,PS2,THQ,2002
BioShock,X360,Take-Two Interactive,2007
Metroid Prime,GC,Nintendo,2002
Assassins Creed: Brotherhood,PS3,Ubisoft,2010
Finding Nemo,GBA,THQ,2003
